iter	Passed	Remaining
0	0	248
1	0	231
2	0	219
3	0	211
4	1	206
5	1	206
6	1	206
7	1	205
8	1	205
9	2	203
10	2	206
11	2	207
12	2	205
13	2	204
14	3	205
15	3	204
16	3	203
17	3	205
18	3	204
19	4	203
20	4	201
21	4	199
22	4	198
23	4	196
24	5	195
25	5	195
26	5	195
27	5	194
28	5	193
29	5	193
30	6	192
31	6	192
32	6	193
33	6	193
34	6	192
35	7	192
36	7	192
37	7	192
38	7	191
39	7	191
40	8	191
41	8	190
42	8	190
43	8	187
44	8	187
45	9	187
46	9	186
47	9	186
48	9	186
49	9	185
50	10	186
51	10	186
52	10	186
53	10	186
54	10	186
55	11	187
56	11	186
57	11	186
58	11	186
59	11	185
60	12	185
61	12	185
62	12	185
63	12	184
64	12	184
65	13	184
66	13	184
67	13	184
68	13	184
69	13	184
70	14	184
71	14	183
72	14	183
73	14	183
74	14	182
75	15	182
76	15	182
77	15	182
78	15	180
79	15	180
80	15	180
81	16	180
82	16	180
83	16	179
84	16	179
85	16	179
86	17	179
87	17	179
88	17	179
89	17	178
90	17	178
91	18	178
92	18	177
93	18	177
94	18	177
95	18	176
96	18	176
97	19	176
98	19	176
99	19	176
100	19	175
101	19	175
102	20	175
103	20	175
104	20	174
105	20	174
106	20	174
107	21	175
108	21	174
109	21	174
110	21	174
111	21	174
112	22	173
113	22	173
114	22	173
115	22	173
116	22	173
117	23	172
118	23	172
119	23	172
120	23	172
121	23	171
122	24	172
123	24	171
124	24	171
125	24	171
126	24	171
127	25	171
128	25	171
129	25	171
130	25	170
131	25	170
132	26	170
133	26	170
134	26	170
135	26	169
136	26	169
137	27	169
138	27	169
139	27	169
140	27	169
141	27	169
142	28	168
143	28	168
144	28	168
145	28	168
146	28	168
147	29	168
148	29	168
149	29	168
150	29	168
151	30	167
152	30	167
153	30	167
154	30	167
155	30	167
156	31	166
157	31	166
158	31	166
159	31	166
160	31	166
161	32	165
162	32	165
163	32	165
164	32	165
165	32	164
166	33	164
167	33	164
168	33	164
169	33	164
170	33	163
171	33	163
172	34	163
173	34	163
174	34	162
175	34	162
176	34	162
177	35	162
178	35	162
179	35	161
180	35	161
181	35	161
182	36	161
183	36	161
184	36	161
185	36	160
186	36	160
187	37	160
188	37	160
189	37	160
190	37	160
191	38	160
192	38	159
193	38	159
194	38	159
195	38	159
196	38	158
197	39	158
198	39	158
199	39	158
200	39	158
201	39	157
202	40	157
203	40	157
204	40	157
205	40	157
206	40	156
207	41	156
208	41	156
209	41	156
210	41	155
211	41	155
212	42	155
213	42	155
214	42	155
215	42	154
216	42	154
217	43	154
218	43	154
219	43	153
220	43	153
221	43	153
222	44	153
223	44	153
224	44	153
225	44	153
226	44	152
227	45	152
228	45	152
229	45	152
230	45	152
231	45	152
232	46	151
233	46	151
234	46	151
235	46	151
236	46	151
237	47	150
238	47	150
239	47	150
240	47	150
241	47	150
242	48	150
243	48	150
244	48	149
245	48	149
246	49	149
247	49	149
248	49	149
249	49	148
250	49	148
251	50	148
252	50	148
253	50	147
254	50	147
255	50	147
256	50	147
257	51	147
258	51	146
259	51	146
260	51	146
261	52	146
262	52	146
263	52	146
264	52	146
265	52	145
266	53	145
267	53	145
268	53	145
269	53	145
270	54	146
271	54	146
272	55	146
273	55	146
274	55	146
275	55	145
276	55	145
277	55	145
278	56	145
279	56	144
280	56	144
281	56	144
282	56	144
283	57	144
