iter	Passed	Remaining
0	0	279
1	0	253
2	0	239
3	0	233
4	1	235
5	1	229
6	1	227
7	1	224
8	2	222
9	2	220
10	2	219
11	2	218
12	2	216
13	3	214
14	3	213
15	3	212
16	3	212
17	3	211
18	4	211
19	4	215
20	4	215
21	4	216
22	5	215
23	5	215
24	5	214
25	5	213
26	5	212
27	6	211
28	6	211
29	6	210
30	6	210
31	6	209
32	7	208
33	7	209
34	7	210
35	7	211
36	8	210
37	8	211
38	8	212
39	8	211
40	9	211
41	9	209
42	9	209
43	9	208
44	9	208
45	10	207
46	10	207
47	10	208
48	10	209
49	10	208
50	11	208
51	11	207
52	11	207
53	11	207
54	12	208
55	12	207
56	12	207
57	12	207
58	12	206
59	13	206
60	13	206
61	13	205
62	13	205
63	14	205
64	14	205
65	14	206
66	14	205
67	14	205
68	15	204
69	15	203
70	15	203
71	15	202
72	15	202
73	16	201
74	16	201
75	16	201
76	16	200
77	16	200
78	17	200
79	17	199
80	17	198
81	17	198
82	17	196
83	18	196
84	18	196
85	18	195
86	18	195
87	18	195
88	19	194
89	19	194
90	19	194
91	19	193
92	19	193
93	20	193
94	20	192
95	20	192
96	20	191
97	20	191
98	21	191
99	21	191
100	21	190
101	21	190
102	21	190
103	22	189
104	22	190
105	22	190
106	22	189
107	22	189
108	23	189
109	23	188
110	23	188
111	23	188
112	24	188
113	24	188
114	24	188
115	24	188
116	24	187
117	25	187
118	25	186
119	25	186
120	25	186
121	25	185
122	25	185
123	26	185
124	26	185
125	26	185
126	26	184
127	27	184
128	27	185
129	27	184
130	27	184
131	27	183
132	28	183
133	28	183
134	28	182
135	28	182
136	29	183
137	29	183
138	29	182
139	29	182
140	29	182
141	30	181
142	30	181
143	30	181
144	30	180
145	30	180
146	31	179
147	31	179
148	31	179
149	31	178
150	31	178
151	31	178
152	32	178
153	32	177
154	32	177
155	32	177
156	32	176
157	33	176
158	33	176
159	33	175
160	33	174
161	33	174
162	34	175
163	34	175
164	34	175
165	34	174
166	34	174
167	35	174
168	35	174
169	35	173
170	35	173
171	35	173
172	36	173
173	36	172
174	36	172
175	36	172
176	36	171
177	37	171
178	37	171
179	37	171
180	37	171
181	38	171
182	38	171
183	38	170
184	38	170
185	38	170
186	39	170
187	39	170
188	39	169
189	39	169
190	39	169
191	40	169
192	40	168
193	40	168
194	40	168
195	40	167
196	41	167
197	41	167
198	41	167
199	41	166
200	41	166
201	42	166
202	42	166
203	42	166
204	42	165
205	42	165
206	43	165
207	43	165
208	43	165
209	43	164
210	44	164
211	44	164
212	44	164
213	44	164
214	44	164
215	45	163
216	45	163
217	45	163
218	45	163
219	46	163
220	46	163
221	46	163
222	46	163
223	47	163
224	47	162
225	47	162
226	47	162
227	47	162
228	48	162
229	48	162
230	48	162
231	49	162
232	49	162
233	49	162
234	49	161
235	49	161
236	50	161
237	50	161
238	50	160
239	50	160
240	50	160
241	51	160
